Station Code,State,State Code,District,District Code,Block,Block Code,GP Name,GP Code,Basin,Basin Code,Sub Basin,Sub Basin Code,Latitude,Longitude,Monitoring Date,"Ground Water 
Level"
010101,Karnataka,10,Bengaluru Urban,166,Anekal,11,Suragajakkanahalli,156,Ponnaiyar,26,Ponnaiyar ,238,12.7111,77.70278,01-01-2026,41.6
010101,Karnataka,10,Bengaluru Urban,166,Anekal,11,Suragajakkanahalli,156,Ponnaiyar,26,Ponnaiyar ,238,12.7111,77.70278,01-02-2026,44.3
010101,Karnataka,10,Bengaluru Urban,166,Anekal,11,Suragajakkanahalli,156,Ponnaiyar,26,Ponnaiyar ,238,12.7111,77.70278,01-03-2026,44.9
010101,Karnataka,10,Bengaluru Urban,166,Anekal,11,Suragajakkanahalli,156,Ponnaiyar,26,Ponnaiyar ,238,12.7111,77.70278,01-04-2026,42.8
010101,Karnataka,10,Bengaluru Urban,166,Anekal,11,Suragajakkanahalli,156,Ponnaiyar,26,Ponnaiyar ,238,12.7111,77.70278,01-05-2026,40
010101,Karnataka,10,Bengaluru Urban,166,Anekal,11,Suragajakkanahalli,156,Ponnaiyar,26,Ponnaiyar ,238,12.7111,77.70278,01-06-2026,45.8
010101,Karnataka,10,Bengaluru Urban,166,Anekal,11,Suragajakkanahalli,156,Ponnaiyar,26,Ponnaiyar ,238,12.7111,77.70278,01-07-2026,-0.05
010101,Karnataka,10,Bengaluru Urban,166,Anekal,11,Suragajakkanahalli,156,Ponnaiyar,26,Ponnaiyar ,238,12.7111,77.70278,01-08-2026,-0.05
010104,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.78722,77.63361,01-01-2026,-0.05
010104,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.78722,77.63361,01-02-2026,-0.05
010104,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.78722,77.63361,01-03-2026,-0.05
010104,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.78722,77.63361,01-04-2026,-0.05
010104,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.78722,77.63361,01-05-2026,-0.05
010104,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.78722,77.63361,01-06-2026,-0.05
010104,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.78722,77.63361,01-07-2026,-0.05
010104,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.78722,77.63361,01-08-2026,-0.05
010105,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.80833,77.58333,01-01-2026,9.6
010105,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.80833,77.58333,01-02-2026,10
010105,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.80833,77.58333,01-03-2026,10.2
010105,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.80833,77.58333,01-04-2026,10.5
010105,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.80833,77.58333,01-05-2026,9.9
010105,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.80833,77.58333,01-06-2026,10
010105,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.80833,77.58333,01-07-2026,-0.05
010105,Karnataka,10,Bengaluru Urban,166,Anekal,11,-,-,Ponnaiyar,26,Ponnaiyar ,238,12.80833,77.58333,01-08-2026,-0.05
010107,Karnataka,10,Bengaluru Urban,166,Anekal,11,Sarjapura,155,Ponnaiyar,26,Ponnaiyar ,238,12.85833,77.78944,01-01-2026,24.3
010107,Karnataka,10,Bengaluru Urban,166,Anekal,11,Sarjapura,155,Ponnaiyar,26,Ponnaiyar ,238,12.85833,77.78944,01-02-2026,24.6
010107,Karnataka,10,Bengaluru Urban,166,Anekal,11,Sarjapura,155,Ponnaiyar,26,Ponnaiyar ,238,12.85833,77.78944,01-03-2026,25.4
010107,Karnataka,10,Bengaluru Urban,166,Anekal,11,Sarjapura,155,Ponnaiyar,26,Ponnaiyar ,238,12.85833,77.78944,01-04-2026,26.3
010107,Karnataka,10,Bengaluru Urban,166,Anekal,11,Sarjapura,155,Ponnaiyar,26,Ponnaiyar ,238,12.85833,77.78944,01-05-2026,27.6
