Station Code,State,District,Block,Latitude,Longitude,Month,Groundwater Level,Avg Temperature (°C),Total Rainfall (mm),Soil pH,Clay (%),Sand (%),Silt (%),Organic Carbon (g/kg),Nitrogen (g/kg)
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-01,4.1,22.529973118279568,30.5,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-02,5.3,23.072619047619046,14.2,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-03,5.5,26.404973118279568,0.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-04,5.93,27.532500000000002,59.2,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-05,6.0,26.53521505376344,113.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-06,5.1,25.061805555555555,162.5,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-07,7.6,24.0247311827957,189.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-08,7.0,24.303763440860216,144.9,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-09,5.5,24.289305555555554,144.9,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-10,2.7,23.729301075268815,291.9,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-11,3.4,22.442916666666665,327.7,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2021-12,3.1,21.80524193548387,21.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-01,4.8,22.313037634408605,3.3000000000000003,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-02,5.6,23.698511904761904,0.30000000000000004,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-03,6.5,26.19475806451613,17.2,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-04,6.6,27.195277777777775,31.4,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-05,3.3,25.11720430107527,169.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-06,4.5,24.512777777777778,122.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-07,6.55,23.591532258064515,188.5,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-08,6.3,23.601478494623656,275.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-09,5.3,23.64236111111111,146.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-10,0.7,22.747043010752687,158.4,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-11,2.3,22.10125,76.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2022-12,4.8,21.686021505376342,68.2,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-01,5.1,21.48467741935484,0.2,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-02,6.3,23.964285714285715,0.0,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-03,7.3,25.870564516129033,4.7,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-04,6.3,27.653750000000002,17.4,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-05,3.7,26.225,117.9,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-06,6.3,25.95791666666667,79.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-07,4.4,24.094086021505376,197.8,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-08,4.55,25.74798387096774,35.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-09,4.7,24.64597222222222,181.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-10,2.5,24.99005376344086,74.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-11,3.23,24.081111111111113,107.0,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2023-12,4.1,23.61774193548387,13.200000000000001,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-01,5.4,23.864247311827956,10.200000000000001,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-02,7.2,25.72155172413793,0.30000000000000004,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-03,5.85,28.63225806451613,0.0,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-04,7.3,30.733611111111113,0.3,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-05,7.64,27.46317204301075,207.5,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-06,6.8,25.215833333333336,142.4,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-07,8.3,24.247849462365593,174.0,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-08,7.7,24.406586021505376,189.5,6.5,20.1,45.4,13.9,10.3,1.0
